** WARNING! Editing this file can cause it to become unusable with the SNC Patient software.

6.1.0.26611
File Revision:	C
Measured File
Sun Nuclear Corporation
1175 MapCHECK

FileName:	21-Nov-2019-A.txt flat sym SSD 100 no buildup - 6e
Firmware Version:	26
Hardware Revision:	C
Diode Type:	4294967295

Date:	11/21/19	Time:	17:53:27
Serial No:	5221003

Overrange Error:	0

Cal File:	6Xcal_1-16-10.cal

Dose per Count:	0.01323825313
Dose Info:	6x       20x20 fs 100mu 100ssd
Dose IDDC:	1558465910

Time:	2762

Orientation:	0

Rows:	45
Cols:	45
CAX X:	23
CAX Y:	23

Background
Ycm	ROW	
6.0	35	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000266382525306	0.000000000000000	0.000266382525306	0.000000000000000	0.001598295151838	0.000000000000000	0.000000000000000	0.000000000000000	0.001065530101225	0.000000000000000	0.000000000000000	0.000000000000000	0.002930207778370	0.000000000000000	0.001598295151838	0.000000000000000	0.000532765050613	0.000000000000000	0.000000000000000	0.000000000000000	0.001331912626532	0.000000000000000	0.000000000000000	0.000000000000000	0.001864677677144	0.000000000000000	0.000266382525306	0.000000000000000	0.002397442727757	0.000000000000000	0.000000000000000	0.000000000000000	0.000532765050613	0.000000000000000	0.000000000000000	0.000000000000000	0.000266382525306
5.5	34	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.001598295151838	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.002131060202451	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
5.0	33	0.000000000000000	0.000000000000000	0.000266382525306	0.000000000000000	0.000000000000000	0.000000000000000	0.000799147575919	0.000000000000000	0.000000000000000	0.000000000000000	0.002131060202451	0.000000000000000	0.001065530101225	0.000000000000000	0.000799147575919	0.000000000000000	-0.000266382525306	0.000000000000000	0.000000000000000	0.000000000000000	-0.000266382525306	0.000000000000000	0.001065530101225	0.000000000000000	0.000266382525306	0.000000000000000	0.000266382525306	0.000000000000000	-0.000266382525306	0.000000000000000	0.000000000000000	0.000000000000000	0.000266382525306	0.000000000000000	0.001331912626532	0.000000000000000	0.000000000000000	0.000000000000000	-0.000532765050613	0.000000000000000	0.000000000000000	0.000000000000000	-0.001331912626532	0.000000000000000	0.000000000000000
4.5	32	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	-0.001065530101225	0.000000000000000	0.000000000000000	0.000000000000000	0.000532765050613	0.000000000000000	-0.001598295151838	0.000000000000000	0.000799147575919	0.000000000000000	0.000266382525306	0.000000000000000	0.000532765050613	0.000000000000000	-0.000532765050613	0.000000000000000	0.001331912626532	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
4.0	31	0.000266382525306	0.000000000000000	0.000000000000000	0.000000000000000	0.000799147575919	0.000000000000000	0.000000000000000	0.000000000000000	0.002131060202451	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.001065530101225	0.000000000000000	0.000266382525306	0.000000000000000	0.000000000000000	0.000000000000000	0.000799147575919	0.000000000000000	0.000799147575919	0.000000000000000	-0.000266382525306	0.000000000000000	0.000266382525306	0.000000000000000	-0.000532765050613	0.000000000000000	-0.000266382525306	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.002397442727757	0.000000000000000	0.000000000000000	0.000000000000000	0.000266382525306
3.5	30	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000799147575919	0.000000000000000	0.001065530101225	0.000000000000000	-0.000266382525306	0.000000000000000	0.000266382525306	0.000000000000000	0.000266382525306	0.000000000000000	0.000266382525306	0.000000000000000	-0.000266382525306	0.000000000000000	-0.001598295151838	0.000000000000000	0.000799147575919	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
3.0	29	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	-0.001065530101225	0.000000000000000	0.000000000000000	0.000000000000000	0.001331912626532	0.000000000000000	0.000000000000000	0.000000000000000	-0.000266382525306	0.000000000000000	-0.000266382525306	0.000000000000000	0.000266382525306	0.000000000000000	0.001331912626532	0.000000000000000	0.000532765050613	0.000000000000000	0.002131060202451	0.000000000000000	-0.000532765050613	0.000000000000000	0.001864677677144	0.000000000000000	0.000532765050613	0.000000000000000	-0.000266382525306	0.000000000000000	0.000266382525306	0.000000000000000	0.000000000000000	0.000000000000000	0.000799147575919	0.000000000000000	0.000000000000000	0.000000000000000	-0.000266382525306	0.000000000000000	0.000000000000000
2.5	28	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.001065530101225	0.000000000000000	0.001065530101225	0.000000000000000	-0.000266382525306	0.000000000000000	-0.000799147575919	0.000000000000000	0.002663825253063	0.000000000000000	0.000266382525306	0.000000000000000	0.000532765050613	0.000000000000000	0.000266382525306	0.000000000000000	0.000266382525306	0.000000000000000	0.000266382525306	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
2.0	27	-0.000266382525306	0.000000000000000	0.000000000000000	0.000000000000000	0.000799147575919	0.000000000000000	0.000000000000000	0.000000000000000	0.000266382525306	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000266382525306	0.000000000000000	0.001331912626532	0.000000000000000	0.000532765050613	0.000000000000000	0.001331912626532	0.000000000000000	0.000799147575919	0.000000000000000	-0.000266382525306	0.000000000000000	0.000532765050613	0.000000000000000	0.000799147575919	0.000000000000000	0.001331912626532	0.000000000000000	0.000000000000000	0.000000000000000	0.000799147575919	0.000000000000000	0.000000000000000	0.000000000000000	0.001065530101225	0.000000000000000	0.000000000000000	0.000000000000000	0.000799147575919
1.5	26	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000266382525306	0.000000000000000	0.000266382525306	0.000000000000000	0.000799147575919	0.000000000000000	0.000532765050613	0.000000000000000	0.000000000000000	0.000000000000000	0.000799147575919	0.000000000000000	0.000799147575919	0.000000000000000	0.000532765050613	0.000000000000000	-0.000799147575919	0.000000000000000	-0.000799147575919	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
